record,experimental.condition,region,working.pattern,positive.callback,positive.callback.alt,other.further.stage,negative.response,negative.or.no.response,response,female.dominated,high.skill,salary,missing.salary
SW,2,south west,Part-time,1,1,0,0,0,Invitation to interview,1,0,28687.5,0
PM,4,other,Not stated,0,0,0,1,1,Rejection,0,1,32000,0
AA,4,london,Full-time,0,0,0,0,0,Other outcome,1,0,NA,1
CC,2,south west,Not stated,1,1,0,0,0,Invitation to interview,1,0,17600,0
WO,2,east midlands,Full-time,0,0,0,0,1,No response,0,0,NA,1
HR,1,london,Not stated,0,0,0,1,1,Rejection,1,1,NA,1
WO,3,north west,Full-time,0,0,0,0,1,No response,0,0,NA,1
PM,4,scotland,Full-time,1,0,1,0,0,Other further stage,0,1,50000,0
HR,1,east,Full-time,0,0,0,0,0,Actionable request for further information,1,1,52500,0
SE,2,south east,Not stated,1,0,1,0,0,Other further stage,0,1,NA,1
SW,2,yorkshire & humber,Other,1,1,0,0,0,Invitation to interview,1,0,16200,0
WO,4,east,Full-time,0,0,0,0,1,No response,0,0,18500,0
SE,2,east,Full-time,1,0,1,0,0,Other further stage,0,1,NA,1
SW,3,yorkshire & humber,Not stated,0,0,0,0,1,No response,1,0,NA,1
AA,2,north west,Full-time,0,0,0,0,1,No response,1,0,19000,0
CC,4,north east,Not stated,0,0,0,0,1,No response,1,0,20000,0
CC,2,south west,Other,0,0,0,0,1,No response,1,0,NA,1
SW,1,west midlands,Full-time,1,0,1,0,0,Other further stage,1,0,NA,1
WO,4,north west,Full-time,0,0,0,0,1,No response,0,0,NA,1
PM,4,scotland,Full-time,1,1,0,0,0,Invitation to interview,0,1,NA,1
CC,2,south east,Full-time,1,0,1,0,0,Other further stage,1,0,NA,1
CC,3,west midlands,Full-time,0,0,0,0,0,Other outcome,1,0,16500,0
SW,3,south west,Part-time,1,0,1,0,0,Other further stage,1,0,20000,0
CC,1,yorkshire & humber,Full-time,0,0,0,0,0,Other outcome,1,0,18000,0
WO,1,south west,Other,0,0,0,0,1,No response,0,0,18900,0
HR,2,south east,Not stated,0,0,0,1,1,Rejection,1,1,NA,1
WO,1,north west,Full-time,0,0,0,0,1,No response,0,0,15840,0
FM,2,east,Full-time,1,0,1,0,0,Other further stage,0,1,34000,0
SE,1,north west,Not stated,0,0,0,1,1,Rejection,0,1,42500,0
SE,3,north west,Full-time,1,0,1,0,0,Other further stage,0,1,38000,0
CC,3,yorkshire & humber,Other,0,0,0,1,1,Rejection,1,0,20000,0
