Q3,Q5,hireability_HR_10,years_experience_H,prev_jobs_H,applicant_male,applicant_age,applicant_ethnicity,hireability_Software_10,years_experience_S,prev_jobs_S,Q226,Q227,Q228,male,male_10_TEXT,birth_year,race,educ,educ_8_TEXT,Q43,Q117,PROLIFIC_PID,Job,Cond,Name,Dates1,Dates2
6,ice,72,12,3,0,34,7,,,,,,,0,,60,2,5,,No,38,1,HR,Female Treat,Sarah Brown,6 years,4 years
6,Ice,,,,,,,,,,,,,,,,,,,,,2,,,,,
6,Ice,,,,,,,,,,,,,,,,,,,,,3,,,,,
6,Ice,,,,,,,,,,,,,,,,,,,,,4.00E+00,,,,,
6,ice,,,,,,,100,10,2,0,35,7,0,,74,2,5,,No,38,5.00E+00,Software,Female Treat,Jessica Smith,6 years,4 years
6,ice,,,,,,,71,11,2,0,35,7,1,,68,3,5,,No,33,6,Software,Female Normal,Jessica Smith,Jan 2015 - Present.,Jan 2011 - Jan 2015.
1,,,,,,,,,,,,,,,,,,,,,,7,,,,,
1,,,,,,,,,,,,,,,,,,,,,,8,,,,,
6,ice,,,,,,,85,10,2,1,24,7,1,,76,2,6,,No,34,9,Software,Male Treat,James Smith,6 years,4 years
6,Ice,,,,,,,,,,,,,,,,,,,,,10,,,,,
1,,,,,,,,,,,,,,,,,,,,,,11,,,,,
6,ice,100,10,2,1,34,7,,,,,,,0,,49,2,5,,No,41,1.20E+01,HR,Male Treat,Samuel Brown,6 years,4 years
6,ice,84,8,2,1,34,7,,,,,,,0,,77,2,5,,,42,1.30E+01,HR,Male Normal,Samuel Brown,Jan 2015 - Present.,Jan 2011 - Jan 2015.
6,ice,,,,,,,100,10,2,0,29,7,0,,67,2,8,higher education Level 5 diploma,,38,14,Software,Female Treat,Jessica Smith,6 years,4 years
6,ice,80,10,2,0,33,7,,,,,,,0,,61,2,6,,No.,34,15,HR,Female Treat,Sarah Brown,6 years,4 years
6,ice,,,,,,,60,9,2,1,31,7,1,,71,3,6,,No,42,16,Software,Male Normal,James Smith,Jan 2015 - Present.,Jan 2011 - Jan 2015.
6,ice,90,6,2,0,28,7,,,,,,,0,,68,2,5,,No,43,17,HR,Female Treat,Sarah Brown,6 years,4 years
6,ice,,,,,,,100,6,2,0,32,7,0,,78,1,3,,No,38,18,Software,Female Treat,Jessica Smith,6 years,4 years
1,,,,,,,,,,,,,,,,,,,,,,19,,,,,
1,,,,,,,,,,,,,,,,,,,,,,2.00E+01,,,,,
6,ice,,,,,,,100,5,2,1,26,7,1,,73,2,5,,,37,2.10E+01,Software,Male Normal,James Smith,Jan 2015 - Present.,Jan 2011 - Jan 2015.
6,ice,71,5,5,1,35,7,,,,,,,0,,70,3,3,,No,38,22,HR,Male Normal,Samuel Brown,Jan 2015 - Present.,Jan 2011 - Jan 2015.
6,ice,,,,,,,100,6,3,0,33,7,1,,68,3,5,,No,38,23,Software,Female Treat,Jessica Smith,6 years,4 years
6,ice,100,8,2,0,30,7,,,,,,,1,,51,2,5,,No,37,24,HR,Female Normal,Sarah Brown,Jan 2015 - Present.,Jan 2011 - Jan 2015.
6,ice,100,12,2,0,34,7,,,,,,,0,,60,2,5,,,37,25,HR,Female Treat,Sarah Brown,6 years,4 years
6,ice,92,10,2,1,35,6,,,,,,,0,,66,3,5,,no,43,26,HR,Female Normal,Sarah Brown,Jan 2015 - Present.,Jan 2011 - Jan 2015.
