Q5,Q202_First Click,Q202_Last Click,Q202_Page Submit,Q202_Click Count,experience_overall,CV_easy,CV_novel,years_experience,Q274,Q275,Q276,job_gender_type,normative_job_gender,Q208_First Click,Q208_Last Click,Q208_Page Submit,Q208_Click Count,nCRT1,nCRT2,nCRT3,male,male_10_TEXT,birth_year,race,educ,educ_8_TEXT,Q43,novel_acheck,Q117,PROLIFIC_PID,condition,job,job_desc,name,CVlink,job_pop
ice,,,,,6,5,4,15,1,28,8,2,4,,,,,,,,1,,7,3,3,,no,6,41,1,treat,Call Centre,https://hbs.ca1.qualtrics.com/ControlPanel/Graphic.php?IM=IM_6KGrvLr0djamFXT,sarah,https://hbs.ca1.qualtrics.com/ControlPanel/Graphic.php?IM=IM_bQjK4A5fEtnSqot,call centre workers
ice,5.158,70.428,71.221,10,7,7,3,11,0,35,7,2,4,2.683,15.61,16.716,5,First,7,June,0,,77,2,5,,No.,4,33,2,treat,HR,https://hbs.ca1.qualtrics.com/ControlPanel/Graphic.php?IM=IM_bEjlugTWABRuGzj,rebecca,https://hbs.ca1.qualtrics.com/ControlPanel/Graphic.php?IM=IM_6zfh2971IUiaJJb,HR managers
ice,57.222,71.116,71.994,3,5,4,3,5,0,26,7,6,4,5.796,33.123,36.772,3,first,7,June,0,,80,2,3,,no,5,45,3,control,Software,https://hbs.ca1.qualtrics.com/ControlPanel/Graphic.php?IM=IM_bqhwHeTZ4qbv2kt,sarah,https://hbs.ca1.qualtrics.com/ControlPanel/Graphic.php?IM=IM_6y9hsiKBIS4N6Xr,software engineers
ice,17.629,76.669,77.562,19,7,7,2,7,0,40,7,1,4,0.518,26.9,28.075,7,Second,8,Emily,0,,75,2,6,,No,5,40,4,treat,HR,https://hbs.ca1.qualtrics.com/ControlPanel/Graphic.php?IM=IM_bEjlugTWABRuGzj,lauren,https://hbs.ca1.qualtrics.com/ControlPanel/Graphic.php?IM=IM_8kugWgoBPhLdvs9,HR managers
Ice,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,
ice,7.863,32.374,33.509,8,5,6,5,12,0,28,7,3,4,6.743,27.544,33.431,3,First,7,June,1,,75,2,5,,,6,39,6,treat,Call Centre,https://hbs.ca1.qualtrics.com/ControlPanel/Graphic.php?IM=IM_6KGrvLr0djamFXT,jessica,https://hbs.ca1.qualtrics.com/ControlPanel/Graphic.php?IM=IM_6L0d9si9BNfwEQJ,call centre workers
ice,4.174,96.052,96.979,23,6,6,4,11,0,40,7,3,4,0.914,27.607,28.185,8,Second,8,Emily,1,,69,2,1,,No,4,40,7,control,HR,https://hbs.ca1.qualtrics.com/ControlPanel/Graphic.php?IM=IM_bEjlugTWABRuGzj,sarah,https://hbs.ca1.qualtrics.com/ControlPanel/Graphic.php?IM=IM_elBnPChbeTcwewt,HR managers
ice,45.251,110.155,112.123,4,7,5,3,11,0,40,7,6,4,2.132,23.429,26.422,4,second,7,emily,0,,80,2,3,,No,4,34,8,treat,Finance,https://hbs.ca1.qualtrics.com/ControlPanel/Graphic.php?IM=IM_dg63nWmpeFjsGtn,sarah,https://hbs.ca1.qualtrics.com/ControlPanel/Graphic.php?IM=IM_1M8G1kMRmhaKQtf,finance managers
Ice,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,,,,,,
ice,7.661,98.75,99.412,15,6,5,3,11,0,40,7,3,4,4.289,34.061,34.933,6,Second,8,Emily,0,,48,2,3,,No,4,41,10,control,HR,https://hbs.ca1.qualtrics.com/ControlPanel/Graphic.php?IM=IM_bEjlugTWABRuGzj,rebecca,https://hbs.ca1.qualtrics.com/ControlPanel/Graphic.php?IM=IM_86xvTRwRx6KMjyd,HR managers
ice,19,54.501,56.479,14,7,6,4,13,0,45,7,7,4,3.16,16.491,17.171,5,Second,8,Emily,0,,50,2,4,,No,4,40,11,treat,Software,https://hbs.ca1.qualtrics.com/ControlPanel/Graphic.php?IM=IM_bqhwHeTZ4qbv2kt,sarah,https://hbs.ca1.qualtrics.com/ControlPanel/Graphic.php?IM=IM_0qSnH2u1fw38HcN,software engineers
Ice,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,,,,,,
ice,4.652,70.058,71.078,11,6,5,3,11,0,38,7,6,4,2.755,31.869,38.274,4,2nd,8,emily,0,,61,2,4,,No,5,39,13,treat,Software,https://hbs.ca1.qualtrics.com/ControlPanel/Graphic.php?IM=IM_bqhwHeTZ4qbv2kt,lauren,https://hbs.ca1.qualtrics.com/ControlPanel/Graphic.php?IM=IM_bpZ1BN1DevLXZjL,software engineers
ice,10.214,90.089,91.349,19,4,5,4,10,0,25,7,6,4,1.111,9.838,13.05,4,Second,0.8,Emily,0,,71,2,5,,No,4,36,14,control,Call Centre,https://hbs.ca1.qualtrics.com/ControlPanel/Graphic.php?IM=IM_6KGrvLr0djamFXT,sarah,https://hbs.ca1.qualtrics.com/ControlPanel/Graphic.php?IM=IM_a5hofTU2c1qmgst,call centre workers
ice,5.325,23.633,24.385,10,6,6,4,4,0,22,7,2,4,3.138,11.879,17.323,3,second,8,Emily,0,,75,2,3,,No,6,43,15,control,Call Centre,https://hbs.ca1.qualtrics.com/ControlPanel/Graphic.php?IM=IM_6KGrvLr0djamFXT,jessica,https://hbs.ca1.qualtrics.com/ControlPanel/Graphic.php?IM=IM_exSC8FvirVmFFLT,call centre workers
ice,172.254,201.038,201.777,5,6,6,2,11,0,30,8,7,4,3.124,16.35,43.925,3,1st,7,emily,0,,65,2,2,,no,7,40,16,control,Software,https://hbs.ca1.qualtrics.com/ControlPanel/Graphic.php?IM=IM_bqhwHeTZ4qbv2kt,lauren,https://hbs.ca1.qualtrics.com/ControlPanel/Graphic.php?IM=IM_79XyVAnrbiNCIux,software engineers
