Q5,CVtime_First Click,CVtime_Last Click,CVtime_Page Submit,CVtime_Click Count,hire_10,years_experience,applicant_male,applicant_age,applicant_ethnicity,male,male_10_TEXT,birth_year,race,educ,educ_8_TEXT,Q43,Q117,PROLIFIC_PID,Job,Cond,Name,Dates1,Dates2
ice,21.471,64.8,65.864,8,72,5,0,45,7,0,,57,2,7,,No,34,1023,HR,Female Treat,Sarah Brown,5 years,10 years
ice,28.254,28.254,28.594,1,90,3,0,29,7,0,,77,2,6,,,32,1024,HR,Female Normal,Sarah Brown,Jan 2019 - Present,Jan 2016 - Jan 2019
,,,,,,,,,,,,,,,,,,1025,,,,,
,,,,,,,,,,,,,,,,,,1026,,,,,
ice,20.383,20.383,60.579,1,80,11,0,36,7,0,,66,2,7,,No,38,1027,HR,Female Normal,Sarah Brown,Jan 2016 - Present,Jan 2006 - Jan 2016
ice,0.956,151.167,151.868,73,100,9,0,27,7,0,,70,2,3,,No,43,1028,HR,Female Treat,Sarah Brown,2 years,3 years
ice,0,0,175.536,0,100,5,0,25,7,1,,71,2,3,,No.,28,1029,HR,Female Normal,Sarah Brown,Jan 2019 - Present,Jan 2016 - Jan 2019
ice,5.792,186.277,188.501,55,97,15,0,35,7,0,,71,2,7,,No,33,1030,HR,Female Treat,Sarah Brown,5 years,10 years
ice,36.481,36.481,36.792,1,91,15,0,36,7,1,,67,1,5,,No,34,1031,HR,Female Treat,Sarah Brown,5 years,10 years
ice,3.705,41.862,43.334,2,82,5,0,29,7,0,,80,2,3,,No,33,1032,HR,Female Treat,Sarah Brown,2 years,3 years
ice,3.109,18.634,80.746,2,100,15,0,40,7,1,,53,2,5,,,40,1033,HR,Female Normal,Sarah Brown,Jan 2016 - Present,Jan 2006 - Jan 2016
,,,,,,,,,,,,,,,,,,1034,,,,,
ice,2.518,41.836,49.379,37,70,4,0,30,7,1,,73,2,4,,None,32,1035,HR,Female Normal,Sarah Brown,Jan 2019 - Present,Jan 2016 - Jan 2019
ice,61.198,64.863,98.798,4,81,6,0,32,7,0,,76,2,6,,no,38,1036,HR,Female Normal,Sarah Brown,Jan 2019 - Present,Jan 2016 - Jan 2019
ice,1.869,32.63,33.193,20,74,15,0,31,7,1,,68,2,6,,,38,1037,HR,Female Normal,Sarah Brown,Jan 2016 - Present,Jan 2006 - Jan 2016
ice,0,0,142.662,0,99,15,0,35,7,0,,72,2,7,,No,34,1038,HR,Female Treat,Sarah Brown,5 years,10 years
,,,,,,,,,,,,,,,,,,1039,,,,,
ice,0,0,108.115,0,100,6,0,30,7,0,,61,2,3,,No,40,1040,HR,Female Normal,Sarah Brown,Jan 2016 - Present,Jan 2006 - Jan 2016
ice,36.379,36.379,43.259,1,90,5,0,30,7,0,,72,2,3,,No,33,1041,HR,Female Treat,Sarah Brown,2 years,3 years
ice,85.342,85.886,94.626,2,77,5,0,30,7,1,,69,2,6,,no,40,1042,HR,Female Normal,Sarah Brown,Jan 2019 - Present,Jan 2016 - Jan 2019
ice,0,0,62.697,0,100,9,0,35,7,0,,71,1,5,,No,40,1043,HR,Female Normal,Sarah Brown,Jan 2019 - Present,Jan 2016 - Jan 2019
ice,0,0,57.135,0,74,15,0,36,7,0,,68,2,2,,No,41,1044,HR,Female Treat,Sarah Brown,5 years,10 years
ice,115.611,115.611,116.239,1,80,5,0,30,7,1,,72,2,5,,No,33,1045,HR,Female Treat,Sarah Brown,2 years,3 years
,,,,,,,,,,,,,,,,,,1046,,,,,
