CODE	Label - English	Label - French	Label - German	Standard code	Note (EN only)
TOTAL	Total - all NACE activities	Total - ensemble des activités NACE	Insgesamt - alle NACE-Wirtschaftszweige	Y	This aggregate includes all NACE activities
TOT	Total (aggregate changing according to the context)	Total (agrégat variable en fonction du contexte)	Insgesamt (Aggregat ändert sich je nach Anwendungsbereich)	Y	This aggregate includes NACE activities according to the context
A_F_H-U	All NACE activities (except industry; wholesale and retail trade; repair of motor vehicles and motorcycles)	Ensemble des activités NACE (sauf industrie; commerce; réparation d'automobiles et de motocycles)	Alle NACE-Wirtschaftszweige (ohne Industrie; Handel; Instandhaltung und Reparatur von Kraftfahrzeugen)	Y	This aggregate includes the NACE sections A, F, and H to U
A-T	All NACE activities (except extra-territorial organisations and bodies)	Ensemble des activités NACE (sauf les activités extra-territoriales)	Alle NACE-Wirtschaftszweige (ohne extra-territoriale Organisationen und Körperschaften)	Y	This aggregate includes the NACE sections A to T
A-S	All NACE activities (except activities of households as employers and as own use producers; activities of extra-territorial organisations and bodies)	Ensemble des activités NACE (sauf les activités des ménages en tant qu'employeurs et que producteurs pour usage propre; activités extra-territoriales)	Alle NACE-Wirtschaftszweige (ohne Private Haushalte mit Hauspersonal und Aktivitäten Privater Haushalte zur Deckung des Eigenbedarfs, Exterritoriale Organisationen und Körperschaften)	Y	This aggregate includes the NACE sections A to S
TOT_X_H491_H492	All NACE activities (except railways)	Ensemble des activités NACE (sauf transports ferroviaires)	Alle NACE-Wirtschaftszweige (ohne Eisenbahnverkehr)	Y	
NAFT	All NACE activities (except agriculture, fishing and transport) - Non AFT	Ensemble des activités NACE (sauf agriculture, pêche et transport)	Alle NACE-Wirtschaftszweige (ohne Landwirtschaft, Fischerei und Verkehr)	Y	
A_EP_OTH	Agriculture, forestry and fishing; other business sectors (mainly A, E38.3, F41 to U except O)	Agriculture, sylviculture et pêche; autres secteurs d'entreprises (principalement A, E38.3, F41 à U sauf O)	Land- und Forstwirtschaft, Fischerei; Sonstige Unternehmen (ausschließlich A, E38.3, F41 bis U ohne O)	Y	This aggregate includes NACE activities A, E38.3, F41 to U except O
A_B	Agriculture, forestry and fishing; mining and quarrying	Agriculture, sylviculture et pêche; industries extractives	Land- und Forstwirtschaft, Fischerei; Bergbau und Gewinnung von Steinen und Erden	Y	This aggregate includes the NACE sections A and B
A_C-N	Agriculture; industry and construction (except mining); services of the business economy	Agriculture; Industrie et construction (sauf industries extractives); services de l'industrie et des services marchands	Landwirtschaft; Industrie und Baugewerbe (ohne Bergbau und Gewinnung von Steinen und Erden); Wirtschaftliche Dienstleistungen für Unternehmen	Y	This aggregate includes the NACE sections A and C to N
A	Agriculture, forestry and fishing	Agriculture, sylviculture et pêche	Land- und Forstwirtschaft, Fischerei	Y	
A01_A03_FOOD	Primary production of food - agriculture, fishing and aquaculture	Production primaire de produits alimentaires - agriculture, pêche et aquaculture	Primärproduktion von Lebensmitteln - Landwirtschaft, Fischerei und Aquakultur	Y	
A01_A02	Agriculture and forestry	Agriculture et sylviculture	Land und Forstwirtschaft	Y	This aggregate includes NACE activities A01 and A02
AFT	Agriculture, fishing and transport (except railways) - AFT	Agriculture, pêche et transport (sauf transports ferroviaires)	Landwirtschaft, Fischerei und Verkehr (ohne Eisenbahnverkehr)	Y	
A01_A02_X_A017	Agriculture and forestry (except hunting)	Agriculture et sylviculture (sauf chasse)	Land und Forstwirtschaft (ohne Jagd)	Y	
A01	Crop and animal production, hunting and related service activities	Culture et production animale, chasse et services annexes	Landwirtschaft, Jagd und damit verbundene Tätigkeiten	Y	
A01_IRR	Irrigation in agriculture	Irrigation dans la agriculture	Bewässerung in der Landwirtschaft	M	
A011	Growing of non-perennial crops	Cultures non permanentes	Anbau einjähriger Pflanzen	Y	
A0111	Growing of cereals (except rice), leguminous crops and oil seeds	Culture de céréales (à l'exception du riz), de légumineuses et de graines oléagineuses	Anbau von Getreide (ohne Reis), Hülsenfrüchten und Ölsaaten	Y	
A0112	Growing of rice	Culture du riz	Anbau von Reis	Y	
A0113	Growing of vegetables and melons, roots and tubers	Culture de légumes, de melons, de racines et de tubercules	Anbau von Gemüse und Melonen sowie Wurzeln und Knollen	Y	
A0114	Growing of sugar cane	Culture de la canne à sucre	Anbau von Zuckerrohr	Y	
A0115	Growing of tobacco	Culture du tabac	Anbau von Tabak	Y	
A0116	Growing of fibre crops	Culture de plantes à fibres	Anbau von Faserpflanzen	Y	
A0119	Growing of other non-perennial crops	Autres cultures non permanentes	Anbau von sonstigen einjährigen Pflanzen	Y	
A012	Growing of perennial crops	Cultures permanentes	Anbau mehrjähriger Pflanzen	Y	
A0121	Growing of grapes	Culture de la vigne	Anbau von Wein- und Tafeltrauben	Y	
A0122	Growing of tropical and subtropical fruits	Culture de fruits tropicaux et subtropicaux	Anbau von tropischen und subtropischen Früchten	Y	
A0123	Growing of citrus fruits	Culture d'agrumes	Anbau von Zitrusfrüchten	Y	
A0124	Growing of pome fruits and stone fruits	Culture de fruits à pépins et à noyau	Anbau von Kern- und Steinobst	Y	
A0125	Growing of other tree and bush fruits and nuts	Culture d'autres fruits d'arbres ou d'arbustes et de fruits à coque	Anbau von sonstigem Obst und Nüssen	Y	
A0126	Growing of oleaginous fruits	Culture de fruits oléagineux	Anbau von ölhaltigen Früchten	Y	
A0127	Growing of beverage crops	Culture de plantes à boissons	Anbau von Pflanzen zur Herstellung von Getränken	Y	
A0128	Growing of spices, aromatic, drug and pharmaceutical crops	Culture de plantes à épices, aromatiques, médicinales et pharmaceutiques	Anbau von Gewürzpflanzen, Pflanzen für aromatische, narkotische und pharmazeutische Zwecke	Y	
A0129	Growing of other perennial crops	Autres cultures permanentes	Anbau sonstiger mehrjähriger Pflanzen	Y	
A013	Plant propagation	Reproduction de plantes	Betrieb von Baumschulen, sowie Anbau von Pflanzen zu Vermehrungszwecken	Y	
A0130	Plant propagation	Reproduction de plantes	Betrieb von Baumschulen, sowie Anbau von Pflanzen zu Vermehrungszwecken	Y	
A014	Animal production	Production animale	Tierhaltung	Y	
A0141	Raising of dairy cattle	Élevage de vaches laitières	Haltung von Milchkühen	Y	
A0142	Raising of other cattle and buffaloes	Élevage d'autres bovins et de buffles	Haltung von anderen Rindern	Y	
A0143	Raising of horses and other equines	Élevage de chevaux et d'autres équidés	Haltung von Pferden und Eseln	Y	
A0144	Raising of camels and camelids	Élevage de chameaux et d'autres camélidés	Haltung von Kamelen	Y	
A0145	Raising of sheep and goats	Élevage d'ovins et de caprins	Haltung von Schafen und Ziegen	Y	
A0146	Raising of swine/pigs	Élevage de porcins	Haltung von Schweinen	Y	
A0147	Raising of poultry	Élevage de volailles	Haltung von Geflügel	Y	
