"nace_r2";"geo";"TIME_PERIOD";"OBS_VALUE"
A;BE;"2010-Q1";6.0
A;BE;"2010-Q2";6.0
A;BE;"2010-Q3";3.8
A;BE;"2010-Q4";4.4
A;BE;"2011-Q1";5.1
A;BE;"2011-Q2";10.9
A;BE;"2011-Q3";12.3
A;BE;"2011-Q4";4.3
A;BG;"2009-Q1";1.1
A;BG;"2009-Q2";0.2
A;BG;"2009-Q3";0.3
A;BG;"2009-Q4";0.5
A;BG;"2010-Q1";0.6
A;BG;"2010-Q2";0.4
A;BG;"2010-Q3";0.4
A;BG;"2010-Q4";2.5
A;BG;"2011-Q1";0.7
A;BG;"2011-Q2";0.8
A;BG;"2011-Q3";0.3
A;BG;"2011-Q4";0.3
A;BG;"2012-Q1";1.1
A;BG;"2012-Q2";0.4
A;BG;"2012-Q3";0.3
A;BG;"2012-Q4";0.9
A;BG;"2013-Q1";1.2
A;BG;"2013-Q2";0.4
A;BG;"2013-Q3";0.5
A;BG;"2013-Q4";0.8
A;BG;"2014-Q1";0.8
A;BG;"2014-Q2";0.3
A;BG;"2014-Q3";0.3
A;BG;"2014-Q4";0.4
A;BG;"2015-Q1";0.9
A;BG;"2015-Q2";0.3
A;BG;"2015-Q3";0.4
A;BG;"2015-Q4";0.7
A;BG;"2016-Q1";0.7
A;BG;"2016-Q2";0.5
A;BG;"2016-Q3";0.5
A;BG;"2016-Q4";1.0
A;BG;"2017-Q1";0.8
A;BG;"2017-Q2";0.5
A;BG;"2017-Q3";0.6
A;BG;"2017-Q4";0.7
A;BG;"2018-Q1";0.8
A;BG;"2018-Q2";0.6
A;BG;"2018-Q3";0.5
A;BG;"2018-Q4";0.5
A;BG;"2019-Q1";0.8
A;BG;"2019-Q2";0.8
A;BG;"2019-Q3";0.6
A;BG;"2019-Q4";1.0
A;BG;"2020-Q1";0.8
A;BG;"2020-Q2";0.6
A;BG;"2020-Q3";0.4
A;BG;"2020-Q4";0.5
A;BG;"2021-Q1";1.8
A;BG;"2021-Q2";1.1
A;BG;"2021-Q3";1.0
A;BG;"2021-Q4";1.4
A;BG;"2022-Q1";1.2
A;BG;"2022-Q2";0.9
A;BG;"2022-Q3";0.8
A;BG;"2022-Q4";0.8
A;BG;"2023-Q1";1.6
A;BG;"2023-Q2";0.6
A;BG;"2023-Q3";1.2
A;CZ;"2008-Q1";3.6
A;CZ;"2008-Q2";3.9
A;CZ;"2008-Q3";3.4
A;CZ;"2008-Q4";3.2
A;CZ;"2009-Q1";2.6
A;CZ;"2009-Q2";1.8
A;CZ;"2009-Q3";1.5
A;CZ;"2009-Q4";1.2
A;CZ;"2010-Q1";1.3
A;CZ;"2010-Q2";0.9
A;CZ;"2010-Q3";1.0
A;CZ;"2010-Q4";0.9
A;CZ;"2011-Q1";1.0
A;CZ;"2011-Q2";0.9
A;CZ;"2011-Q3";0.9
A;CZ;"2011-Q4";1.0
A;CZ;"2012-Q1";1.4
A;CZ;"2012-Q2";1.6
A;CZ;"2012-Q3";1.4
A;CZ;"2012-Q4";1.1
A;CZ;"2013-Q1";1.3
A;CZ;"2013-Q2";1.2
A;CZ;"2013-Q3";1.0
A;CZ;"2013-Q4";1.1
A;CZ;"2014-Q1";2.2
A;CZ;"2014-Q2";2.1
A;CZ;"2014-Q3";1.8
A;CZ;"2014-Q4";1.9
A;CZ;"2015-Q1";2.7
A;CZ;"2015-Q2";3.3
A;CZ;"2015-Q3";2.9
A;CZ;"2015-Q4";2.8
A;CZ;"2016-Q1";3.7
A;CZ;"2016-Q2";3.9
A;CZ;"2016-Q3";3.7
A;CZ;"2016-Q4";3.8
A;CZ;"2017-Q1";6.1
A;CZ;"2017-Q2";6.6
A;CZ;"2017-Q3";7.1
A;CZ;"2017-Q4";7.9
A;CZ;"2018-Q1";9.5
A;CZ;"2018-Q2";10.0
A;CZ;"2018-Q3";9.2
A;CZ;"2018-Q4";9.3
A;CZ;"2019-Q1";10.9
A;CZ;"2019-Q2";11.8
A;CZ;"2019-Q3";11.4
A;CZ;"2019-Q4";11.0
A;CZ;"2020-Q1";12.3
A;CZ;"2020-Q2";12.6
A;CZ;"2020-Q3";13.3
A;CZ;"2020-Q4";11.4
A;CZ;"2021-Q1";12.1
A;CZ;"2021-Q2";11.7
A;CZ;"2021-Q3";10.7
A;CZ;"2021-Q4";9.2
A;CZ;"2022-Q1";10.3
A;CZ;"2022-Q2";8.9
A;CZ;"2022-Q3";7.9
A;CZ;"2022-Q4";6.9
A;CZ;"2023-Q1";6.1
A;CZ;"2023-Q2";6.1
A;CZ;"2023-Q3";5.5
A;DE;"2010-Q4";1.6
A;DE;"2011-Q1";2.0
A;DE;"2011-Q2";1.7
A;DE;"2011-Q3";1.6
A;DE;"2011-Q4";1.3
A;DE;"2012-Q1";1.0
A;DE;"2012-Q2";2.1
A;DE;"2012-Q3";1.8
A;DE;"2012-Q4";2.6
A;DE;"2013-Q1";2.2
A;DE;"2013-Q2";1.3
A;DE;"2013-Q3";0.6
A;DE;"2013-Q4";1.8
A;DE;"2014-Q1";2.5
A;DE;"2014-Q2";2.4
A;DE;"2014-Q3";0.7
A;DE;"2014-Q4";1.9
A;DE;"2015-Q1";2.4
A;DE;"2015-Q2";2.3
A;DE;"2015-Q3";1.9
A;DE;"2015-Q4";2.5
A;DE;"2016-Q1";3.3
A;DE;"2016-Q2";2.2
A;DE;"2016-Q3";1.4
A;DE;"2016-Q4";2.0
A;DE;"2017-Q1";2.0
A;DE;"2017-Q2";2.4
A;DE;"2017-Q3";2.2
A;DE;"2017-Q4";2.1
A;DE;"2018-Q1";2.5
A;DE;"2018-Q2";2.7
A;DE;"2018-Q3";2.6
A;DE;"2018-Q4";2.9
A;DE;"2019-Q1";3.4
A;DE;"2019-Q2";3.3
A;DE;"2019-Q3";3.1
A;DE;"2019-Q4";2.4
A;DE;"2020-Q1";2.8
A;DE;"2020-Q2";3.0
A;DE;"2020-Q3";3.0
A;DE;"2020-Q4";2.7
A;DE;"2021-Q1";3.4
A;DE;"2021-Q2";3.4
A;DE;"2021-Q3";2.8
A;DE;"2021-Q4";3.4
A;DE;"2022-Q1";4.0
A;DE;"2022-Q2";5.1
A;DE;"2022-Q3";3.1
A;DE;"2022-Q4";3.6
A;DE;"2023-Q1";3.5
A;DE;"2023-Q2";3.6
A;DE;"2023-Q3";3.7
A;EE;"2008-Q1";2.4
A;EE;"2008-Q2";2.0
A;EE;"2008-Q3";1.9
A;EE;"2008-Q4";1.3
A;EE;"2009-Q1";0.5
A;EE;"2009-Q2";0.3
A;EE;"2009-Q3";0.6
A;EE;"2009-Q4";0.5
A;EE;"2010-Q1";1.1
A;EE;"2010-Q2";0.4
A;EE;"2010-Q3";0.7
A;EE;"2010-Q4";0.9
A;EE;"2011-Q1";0.3
A;EE;"2011-Q2";0.4
A;EE;"2011-Q3";0.3
A;EE;"2011-Q4";0.5
A;EE;"2012-Q1";0.9
A;EE;"2012-Q2";0.6
A;EE;"2012-Q3";1.0
A;EE;"2012-Q4";1.0
A;EE;"2013-Q1";1.0
A;EE;"2013-Q2";0.6
A;EE;"2013-Q3";0.6
A;EE;"2013-Q4";0.6
A;EE;"2014-Q1";0.6
A;EE;"2014-Q2";0.9
A;EE;"2014-Q3";0.6
A;EE;"2014-Q4";0.6
A;EE;"2015-Q1";0.7
A;EE;"2015-Q2";0.4
A;EE;"2015-Q3";0.3
A;EE;"2015-Q4";0.1
A;EE;"2016-Q1";0.3
A;EE;"2016-Q2";0.3
A;EE;"2016-Q3";0.7
A;EE;"2016-Q4";0.7
A;EE;"2017-Q1";1.3
A;EE;"2017-Q2";1.5
A;EE;"2017-Q3";0.7
A;EE;"2017-Q4";1.4
A;EE;"2018-Q1";1.2
A;EE;"2018-Q2";0.6
A;EE;"2018-Q3";0.4
A;EE;"2018-Q4";0.6
A;EE;"2019-Q1";0.8
A;EE;"2019-Q2";0.7
A;EE;"2019-Q3";2.0
A;EE;"2019-Q4";0.3
A;EE;"2020-Q1";0.6
A;EE;"2020-Q2";1.8
A;EE;"2020-Q3";0.3
A;EE;"2020-Q4";0.9
A;EE;"2021-Q1";0.6
A;EE;"2021-Q2";0.3
A;EE;"2021-Q3";0.5
A;EE;"2021-Q4";0.5
A;EE;"2022-Q1";0.3
A;EE;"2022-Q2";0.7
A;EE;"2022-Q3";0.6
A;EE;"2022-Q4";0.1
A;EE;"2023-Q1";0.1
A;EE;"2023-Q2";0.1
A;EE;"2023-Q3";0.1
A;FI;"2009-Q1";5.7
A;FI;"2009-Q2";0.8
A;FI;"2009-Q3";0.7
A;FI;"2009-Q4";0.3
A;FI;"2010-Q1";3.7
A;FI;"2010-Q2";2.9
A;FI;"2010-Q3";0.9
A;FI;"2010-Q4";4.3
A;FI;"2011-Q1";4.2
A;FI;"2011-Q2";2.6
A;FI;"2011-Q3";0.8
A;FI;"2011-Q4";1.7
A;FI;"2012-Q1";3.6
A;FI;"2012-Q2";3.2
A;FI;"2012-Q3";2.3
A;FI;"2012-Q4";1.0
A;FI;"2013-Q1";3.9
A;FI;"2013-Q2";1.1
A;FI;"2013-Q3";1.4
A;FI;"2013-Q4";0.8
A;FI;"2014-Q1";0.7
A;FI;"2014-Q2";0.2
A;FI;"2014-Q3";0.2
A;FI;"2014-Q4";1.9
A;FI;"2015-Q1";0.3
A;FI;"2015-Q2";1.9
A;FI;"2015-Q3";0.5
A;FI;"2015-Q4";0.5
A;FI;"2016-Q1";1.4
A;FI;"2016-Q2";0.0
A;FI;"2016-Q3";0.8
A;FI;"2016-Q4";0.0
A;FI;"2017-Q1";1.2
A;FI;"2017-Q2";2.9
A;FI;"2017-Q3";1.1
A;FI;"2017-Q4";0.3
A;FI;"2018-Q1";1.2
A;FI;"2018-Q2";1.6
A;FI;"2018-Q3";3.7
A;FI;"2018-Q4";2.4
A;FI;"2019-Q1";4.8
A;FI;"2019-Q2";3.8
A;FI;"2019-Q3";2.0
A;FI;"2019-Q4";1.0
A;FI;"2020-Q1";4.0
A;FI;"2020-Q2";0.3
A;FI;"2020-Q3";0.6
A;FI;"2020-Q4";0.2
A;FI;"2021-Q1";2.0
A;FI;"2021-Q2";0.5
A;FI;"2021-Q3";0.6
A;FI;"2021-Q4";1.9
A;FI;"2022-Q1";3.8
