"CODE";"Label - English";"Label - French";"Label - German";"Standard code";"Note (EN only)"
EU;European Union (EU6-1958, EU9-1973, EU10-1981, EU12-1986, EU15-1995, EU25-2004, EU27-2007, EU28-2013, EU27-2020);Union européenne (UE6-1958, UE9-1973, UE10-1981, UE12-1986, UE15-1995, UE25-2004, UE27-2007, UE28-2013, UE27-2020);Europäische Union (EU6-1958, EU9-1973, EU10-1981, EU12-1986, EU15-1995, EU25-2004, EU27-2007, EU28-2013, EU27-2020);Y;""
EU27_2020;European Union - 27 countries (from 2020);Union européenne - 27 pays (à partir de 2020);Europäische Union - 27 Länder (ab 2020);Y;This aggregate covers following countries: BE, BG, CZ, DK, DE, EE, IE, EL, ES, FR, HR, IT, CY, LV, LT, LU, HU, MT, NL, AT, PL, PT, RO, SI, SK, FI, SE
EU28;European Union - 28 countries (2013-2020);Union européenne - 28 pays (2013-2020);Europäische Union - 28 Länder (2013-2020);Y;This aggregate covers following countries: BE, BG, CZ, DK, DE, EE, IE, EL, ES, FR, HR, IT, CY, LV, LT, LU, HU, MT, NL, AT, PL, PT, RO, SI, SK, FI, SE, UK
EA;Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015, EA20-2023);Zone euro (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015, EA20-2023);Euroraum (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015, EA20-2023);Y;""
EA20;Euro area – 20 countries (from 2023);Zone euro - 20 pays (à partir de 2023);Euroraum - 20 Länder (ab 2023);Y;This aggregate covers following countries since 2023: BE, DE, EE, IE, EL, ES, FR, HR, IT, CY, LV, LT, LU, MT, NL, AT, PT, SI, SK, FI
EA19;Euro area - 19 countries  (2015-2022);Zone euro - 19 pays (2015-2022);Euroraum - 19 Länder (2015-2022);Y;This aggregate covers following countries: BE, DE, EE, IE, EL, ES, FR, IT, CY, LV, LT, LU, MT, NL, AT, PT, SI, SK, FI
BE;Belgium;Belgique;Belgien;Y;""
BG;Bulgaria;Bulgarie;Bulgarien;Y;""
CZ;Czechia;Tchéquie;Tschechien;Y;""
DK;Denmark;Danemark;Dänemark;Y;""
DE;Germany;Allemagne;Deutschland;Y;""
EE;Estonia;Estonie;Estland;Y;""
IE;Ireland;Irlande;Irland;Y;""
EL;Greece;Grèce;Griechenland;Y;In the framework of the NUTS change from NUTS 2006 to NUTS 2010 the Greek codes have been changed from GR (GRxxx) to EL (Elxxx).
ES;Spain;Espagne;Spanien;Y;""
FR;France;France;Frankreich;Y;""
HR;Croatia;Croatie;Kroatien;Y;""
IT;Italy;Italie;Italien;Y;""
CY;Cyprus;Chypre;Zypern;Y;""
LV;Latvia;Lettonie;Lettland;Y;""
LT;Lithuania;Lituanie;Litauen;Y;""
LU;Luxembourg;Luxembourg;Luxemburg;Y;""
HU;Hungary;Hongrie;Ungarn;Y;""
MT;Malta;Malte;Malta;Y;""
NL;Netherlands;Pays-Bas;Niederlande;Y;""
AT;Austria;Autriche;Österreich;Y;""
PL;Poland;Pologne;Polen;Y;""
PT;Portugal;Portugal;Portugal;Y;""
RO;Romania;Roumanie;Rumänien;Y;""
SI;Slovenia;Slovénie;Slowenien;Y;""
SK;Slovakia;Slovaquie;Slowakei;Y;""
FI;Finland;Finlande;Finnland;Y;""
SE;Sweden;Suède;Schweden;Y;""
IS;Iceland;Islande;Island;Y;""
NO;Norway;Norvège;Norwegen;Y;""
CH;Switzerland;Suisse;Schweiz;Y;""
UK;United Kingdom;United Kingdom;United Kingdom;Y;""
MK;North Macedonia;Macédoine du Nord;Nordmazedonien;Y;""
