"nace_r2";"geo";"TIME_PERIOD";"OBS_VALUE";"lag_obs";"lag_obs";"diff";"growth_perc"
B-E;AT;"2009-Q1";0.9;;;;
B-E;AT;"2009-Q2";0.9;0.9;0.9;0.0;0.0
B-E;AT;"2009-Q3";0.7;0.9;0.9;-0.20000000000000007;-22.22
B-E;AT;"2009-Q4";0.6;0.7;0.7;-0.09999999999999998;-14.29
B-E;AT;"2010-Q1";1.2;0.6;0.6;0.6;100.0
B-E;AT;"2010-Q2";1.1;1.2;1.2;-0.09999999999999987;-8.33
B-E;AT;"2010-Q3";1.3;1.1;1.1;0.19999999999999996;18.18
B-E;AT;"2010-Q4";1.8;1.3;1.3;0.5;38.46
B-E;AT;"2011-Q1";1.2;1.8;1.8;-0.6000000000000001;-33.33
B-E;AT;"2011-Q2";1.5;1.2;1.2;0.30000000000000004;25.0
B-E;AT;"2011-Q3";1.2;1.5;1.5;-0.30000000000000004;-20.0
B-E;AT;"2011-Q4";1.0;1.2;1.2;-0.19999999999999996;-16.67
B-E;AT;"2012-Q1";1.3;1.0;1.0;0.30000000000000004;30.0
B-E;AT;"2012-Q2";1.3;1.3;1.3;0.0;0.0
B-E;AT;"2012-Q3";1.7;1.3;1.3;0.3999999999999999;30.77
B-E;AT;"2012-Q4";1.0;1.7;1.7;-0.7;-41.18
B-E;AT;"2013-Q1";1.3;1.0;1.0;0.30000000000000004;30.0
B-E;AT;"2013-Q2";1.1;1.3;1.3;-0.19999999999999996;-15.38
B-E;AT;"2013-Q3";1.0;1.1;1.1;-0.10000000000000009;-9.09
B-E;AT;"2013-Q4";1.1;1.0;1.0;0.10000000000000009;10.0
B-E;AT;"2014-Q1";1.4;1.1;1.1;0.2999999999999998;27.27
B-E;AT;"2014-Q2";0.9;1.4;1.4;-0.4999999999999999;-35.71
B-E;AT;"2014-Q3";1.0;0.9;0.9;0.09999999999999998;11.11
B-E;AT;"2014-Q4";0.9;1.0;1.0;-0.09999999999999998;-10.0
B-E;AT;"2015-Q1";1.1;0.9;0.9;0.20000000000000007;22.22
B-E;AT;"2015-Q2";1.3;1.1;1.1;0.19999999999999996;18.18
B-E;AT;"2015-Q3";1.0;1.3;1.3;-0.30000000000000004;-23.08
B-E;AT;"2015-Q4";1.3;1.0;1.0;0.30000000000000004;30.0
B-E;AT;"2016-Q1";1.0;1.3;1.3;-0.30000000000000004;-23.08
B-E;AT;"2016-Q2";1.5;1.0;1.0;0.5;50.0
B-E;AT;"2016-Q3";1.1;1.5;1.5;-0.3999999999999999;-26.67
B-E;AT;"2016-Q4";1.3;1.1;1.1;0.19999999999999996;18.18
B-E;AT;"2017-Q1";1.7;1.3;1.3;0.3999999999999999;30.77
B-E;AT;"2017-Q2";1.9;1.7;1.7;0.19999999999999996;11.76
B-E;AT;"2017-Q3";1.9;1.9;1.9;0.0;0.0
B-E;AT;"2017-Q4";1.9;1.9;1.9;0.0;0.0
B-E;AT;"2018-Q1";2.3;1.9;1.9;0.3999999999999999;21.05
B-E;AT;"2018-Q2";2.1;2.3;2.3;-0.19999999999999973;-8.7
B-E;AT;"2018-Q3";2.4;2.1;2.1;0.2999999999999998;14.29
B-E;AT;"2018-Q4";2.3;2.4;2.4;-0.10000000000000009;-4.17
B-E;AT;"2019-Q1";2.4;2.3;2.3;0.10000000000000009;4.35
B-E;AT;"2019-Q2";2.4;2.4;2.4;0.0;0.0
B-E;AT;"2019-Q3";1.9;2.4;2.4;-0.5;-20.83
B-E;AT;"2019-Q4";2.0;1.9;1.9;0.10000000000000009;5.26
B-E;AT;"2020-Q1";2.1;2.0;2.0;0.10000000000000009;5.0
B-E;AT;"2020-Q2";1.5;2.1;2.1;-0.6000000000000001;-28.57
B-E;AT;"2020-Q3";1.7;1.5;1.5;0.19999999999999996;13.33
B-E;AT;"2020-Q4";1.9;1.7;1.7;0.19999999999999996;11.76
B-E;AT;"2021-Q1";2.3;1.9;1.9;0.3999999999999999;21.05
B-E;AT;"2021-Q2";2.6;2.3;2.3;0.30000000000000027;13.04
B-E;AT;"2021-Q3";3.4;2.6;2.6;0.7999999999999998;30.77
B-E;AT;"2021-Q4";3.3;3.4;3.4;-0.10000000000000009;-2.94
B-E;AT;"2022-Q1";4.3;3.3;3.3;1.0;30.3
B-E;AT;"2022-Q2";4.5;4.3;4.3;0.20000000000000018;4.65
B-E;AT;"2022-Q3";4.5;4.5;4.5;0.0;0.0
B-E;AT;"2022-Q4";3.9;4.5;4.5;-0.6000000000000001;-13.33
B-E;AT;"2023-Q1";4.1;3.9;3.9;0.19999999999999973;5.13
B-E;AT;"2023-Q2";3.4;4.1;4.1;-0.6999999999999997;-17.07
B-E;AT;"2023-Q3";3.0;3.4;3.4;-0.3999999999999999;-11.76
B-N;AT;"2009-Q1";1.8;;;;
B-N;AT;"2009-Q2";1.5;1.8;1.8;-0.30000000000000004;-16.67
B-N;AT;"2009-Q3";1.8;1.5;1.5;0.30000000000000004;20.0
B-N;AT;"2009-Q4";1.5;1.8;1.8;-0.30000000000000004;-16.67
B-N;AT;"2010-Q1";2.0;1.5;1.5;0.5;33.33
B-N;AT;"2010-Q2";2.1;2.0;2.0;0.10000000000000009;5.0
B-N;AT;"2010-Q3";2.5;2.1;2.1;0.3999999999999999;19.05
B-N;AT;"2010-Q4";2.7;2.5;2.5;0.20000000000000018;8.0
B-N;AT;"2011-Q1";2.8;2.7;2.7;0.09999999999999964;3.7
B-N;AT;"2011-Q2";2.4;2.8;2.8;-0.3999999999999999;-14.29
B-N;AT;"2011-Q3";2.2;2.4;2.4;-0.19999999999999973;-8.33
B-N;AT;"2011-Q4";2.2;2.2;2.2;0.0;0.0
B-N;AT;"2012-Q1";2.4;2.2;2.2;0.19999999999999973;9.09
B-N;AT;"2012-Q2";2.4;2.4;2.4;0.0;0.0
B-N;AT;"2012-Q3";2.2;2.4;2.4;-0.19999999999999973;-8.33
B-N;AT;"2012-Q4";1.9;2.2;2.2;-0.30000000000000027;-13.64
B-N;AT;"2013-Q1";2.3;1.9;1.9;0.3999999999999999;21.05
B-N;AT;"2013-Q2";2.2;2.3;2.3;-0.09999999999999964;-4.35
B-N;AT;"2013-Q3";1.9;2.2;2.2;-0.30000000000000027;-13.64
B-N;AT;"2013-Q4";2.0;1.9;1.9;0.10000000000000009;5.26
B-N;AT;"2014-Q1";2.1;2.0;2.0;0.10000000000000009;5.0
B-N;AT;"2014-Q2";1.9;2.1;2.1;-0.20000000000000018;-9.52
B-N;AT;"2014-Q3";2.1;1.9;1.9;0.20000000000000018;10.53
